graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,modularity_regime,mu_t_input,mu_w_input,n,mean_auc,sd_auc,median_auc,min_auc,max_auc,se_auc,ci95_lower_mean,ci95_upper_mean
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.015071139986325829,0.007715057161852907,0.01336458982683285,0.0036203442908785,0.0422736243295837,0.0012198576454924754,0.012603745003050778,0.01753853496960088
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.014578559599077298,0.008339546193230993,0.013087462339988452,0.0048394561495215,0.0464956371550964,0.001318598031139831,0.011911443334312412,0.017245675863842184
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.015164154948990255,0.002494364780131615,0.01496312859940468,0.010727821133806539,0.02084217466040164,0.00039439370102605084,0.01436641839100517,0.015961891506975343
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.015630244441377346,0.0036891325272099826,0.015155940561982618,0.009866734599598541,0.026438834345587903,0.0005833030688098321,0.01445040262046612,0.01681008626228857
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.015928180642872842,0.0034886201941545635,0.01573994515068416,0.00778810341194688,0.0241183178841487,0.0005515992852393625,0.014812465777120417,0.017043895508625267
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.015891240420084923,0.0034451762308539604,0.015455318190291731,0.01087753509168946,0.02434799970963634,0.0005447301915086288,0.014789419607850534,0.016993061232319313
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.01694648867600763,0.003916526755798625,0.016498915831271,0.00939666405805904,0.026679159406155818,0.0006192572532656864,0.015693922652660224,0.01819905469935504
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.015935915276716582,0.0037681861739575035,0.01597453522725837,0.0093252296714393,0.027707674730689004,0.0005958025478630585,0.014730790873019206,0.017141039680413958
null,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.015409952034000187,0.0029317774140022786,0.01527404638608198,0.009571443023149221,0.021150668522739422,0.00046355471104428137,0.014472324129030656,0.01634757993896972
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.02020013027278245,0.010174627318430038,0.0173009216121341,0.0069597184237082,0.0439810623685841,0.0016087498334805106,0.01694612659199077,0.023454133953574128
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.020611367294269777,0.008530823958891867,0.018372318731032948,0.0081528082118501,0.0402649607014894,0.0013488417014016461,0.01788307743227773,0.023339657156261823
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.01770461286142534,0.00810053210177505,0.0163330526871402,0.0063522631473993,0.0425183394390349,0.0012808065850460025,0.015113937011529499,0.020295288711321177
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.02034031698968035,0.009319967889302014,0.0170357625014012,0.0090051860933473,0.0452279398988546,0.00147361631249132,0.017359646654786103,0.023320987324574594
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.018198161458730544,0.008323413307465199,0.0165153378612187,0.0057367650459868,0.0485274513538264,0.00131604719792727,0.015536204741143233,0.020860118176317853
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.014534545547390124,0.0060799620103888525,0.01343188393833295,0.0055331776562832,0.0383504734174844,0.0009613264020062548,0.012590079362860464,0.016479011731919783
null,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.01742834364634043,0.008589192221833188,0.01638362400251195,0.0064525589198056,0.0451516814284229,0.0013580705340997547,0.014681386708247384,0.020175300584433477
