graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_groups_expected,n_groups_observed,total_n,min_n_per_group,max_n_per_group,balanced_to_planned_n_runs,anova_F,anova_df_between,anova_df_within,anova_p_value,anova_significant_0p05,levene_statistic,levene_p_value,equal_variance_not_rejected_0p05,welch_F,welch_df_num,welch_df_denom,welch_p_value,welch_significant_0p05,eta_squared,omega_squared,omega_squared_raw
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity_louvain_dynamic,auc_abs_marginal_delta,7,7,280,40,40,True,4.259609297260663,6,273,0.0004034231776646043,True,4.259609297260664,0.0004034231776646043,False,,6.0,,,False,0.08560375287141095,0.06528845250977247,0.06528845250977247
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity_louvain_dynamic,auc_raw,7,7,280,40,40,True,2088.3730694710325,6,273,7.033690431236286e-225,True,8.33848650016644,2.6152922069770247e-08,False,1603.2169548272782,6.0,120.28452341954369,3.1387339877186304e-112,True,0.9786772696788012,0.9781322409904486,0.9781322409904486
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,gscc_ratio,auc_abs_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,gscc_ratio,auc_abs_marginal_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,gscc_ratio,auc_raw,7,7,280,40,40,True,23.75298682828876,6,273,1.445702434985702e-22,True,21.325320807993702,1.637600640159628e-20,False,12.671423571039556,6.0,113.4160698399767,6.657972574994727e-11,True,0.3429886264282543,0.3277600172686278,0.3277600172686278
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,reachability,auc_abs_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,reachability,auc_abs_marginal_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,reachability,auc_raw,7,7,280,40,40,True,24.127393276273345,6,273,7.065781541931419e-23,True,19.793120846514345,3.5130559574124605e-19,False,13.208765997744484,6.0,113.41687827309553,2.680552173454217e-11,True,0.34652156487517316,0.33136621218454837,0.33136621218454837
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_gamma,auc_abs_delta,7,7,232,15,40,False,79.56176939250321,6,225,7.290839174192888e-53,True,1.125792149233147,0.34808983864877674,True,81.44051398689726,6.0,87.81156178352414,9.83273037398254e-34,True,0.6796563028680692,0.6701596646128587,0.6701596646128587
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,spectral_gamma,auc_abs_marginal_delta,7,7,232,15,40,False,118.96825657920745,6,225,6.063989493645443e-67,True,2.5630995022107834,0.02020284488950815,False,154.37757865297073,6.0,90.2613577565492,3.141543942026436e-45,True,0.7603347744785744,0.7531414714841684,0.7531414714841684
