graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,mean_difference_group2_minus_group1,ci95_lower,ci95_upper,p_value_tukey_adjusted,reject_tukey_0p05
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,0.0021489689694083464,0.00031475302215062647,0.003983184916666067,0.010341985653814945,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,0.001959306498078529,0.0001250905508208091,0.003793522445336249,0.02766705052590701,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,0.002725215005297748,0.000890999058040028,0.004559430952555468,0.00029287610584016743,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,0.0003429718411780483,-0.0014912441060796716,0.002177187788435768,0.9979041584527479,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,0.0012093068978932461,-0.0006249090493644738,0.003043522845150966,0.443704813298611,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,0.0010196444265634288,-0.0008145715206942911,0.0028538603738211487,0.6490393257218019,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,0.0017855529337826477,-4.866301347507219e-05,0.0036197688810403676,0.062136672825546135,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p175,0.15,0.175,0.0008663350567151978,-0.0009678808905425221,0.0027005510039729177,0.7999370444724927,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,0.0006766725853853805,-0.0011575433618723394,0.0025108885326431004,0.9289707211750922,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,0.0014425810926045994,-0.0003916348546531205,0.0032767970398623193,0.2306717909918259,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p225,0.175,0.225,-0.00018966247132981735,-0.0020238784185875372,0.0016445534759279025,0.9999311511201456,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,0.0005762460358894016,-0.0012579699113683183,0.0024104619831471215,0.9668942906872434,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,0.0007659085072192189,-0.001068307440038501,0.002600124454476939,0.877707587148216,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,0.0066320095391305955,-0.006196332383917156,0.019460351462178345,0.7230304280685214,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,0.009587098139665608,-0.0032412437833821434,0.022415440062713357,0.28824754288373056,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,0.007520510722279335,-0.0053078312007684165,0.020348852645327084,0.5888051840476052,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,0.006057724392820749,-0.0067706175302270025,0.018886066315868498,0.800104750837469,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,-0.0011655315467735544,-0.013993873469821306,0.011662810376274197,0.999967868533907,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,-0.0027126513272612875,-0.015540993250309039,0.010115690595786464,0.9958510722697511,False
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,0.002955088600535012,-0.009873253322512739,0.01578343052358276,0.9933833448478008,False
