modularity_regime,mu_t_input,mu_w_input,run_id,replicate_id,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_lfr,auc_null,delta_auc_lfr_minus_null
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,weighted_directed_community_assortativity_louvain_dynamic,0.0117876936558657,0.0627233029243871,-0.050935609268521406
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,weighted_efficiency,0.7957193356763339,1.0415111624241251,-0.2457918267477912
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,yuan_out_in_strength_assortativity,0.1157470844188903,0.0429289558901284,0.0728181285287619
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,community_assortativity,0.0101047696203694,0.0155934489329579,-0.0054886793125885
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,community_assortativity_louvain_dynamic,0.0133702192364485,0.0599175885924382,-0.0465473693559897
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,gscc_ratio,0.494288888888889,0.3273777777777779,0.16691111111111112
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,reachability,0.5427488441461596,0.4725284116331096,0.07022043251305005
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,spectral_gamma,0.0044966493564256,3.7714278476103567,-3.766931198253931
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,spectral_kappa,0.002697122306158,3.3513652429024594,-3.3486681205963014
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,0.0184908069927844,0.0141187314126735,0.004372075580110898
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity_louvain_dynamic,0.0219461547905832,0.0666368375248391,-0.044690682734255895
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,weighted_efficiency,0.8567886942103711,1.0468280995993773,-0.1900394053890062
mu_0p075,0.075,0.075,0,0,node_removal,out_strength,out_strength,node,yuan_out_in_strength_assortativity,0.1427121992461561,0.0251403231926605,0.1175718760534956
